url,arxiv_id,title,summarized_at,file_path
http://arxiv.org/abs/2507.07966v1,2507.07966,Scaling RL to Long Videos,2025-07-13T04:22:46.764862,../summary/Scaling RL to Long Videos.md
http://arxiv.org/abs/2507.01951v2,2507.01951,Test-Time Scaling with Reflective Generative Model,2025-07-14T07:05:59.665186,../summary/Test-Time Scaling with Reflective Generative Model.md
http://arxiv.org/abs/2507.10548v1,2507.10548,EmbRACE-3K: Embodied Reasoning and Action in Complex Environments,2025-07-15T08:32:27.487358,../summary/EmbRACE-3K Embodied Reasoning and Action in Complex Environments.md
http://arxiv.org/abs/2507.10532v1,2507.10532,Reasoning or Memorization? Unreliable Results of Reinforcement Learning   Due to Data Contamination,2025-07-16T00:58:27.025704,../summary/Reasoning or Memorization Unreliable Results of Reinforcement Learning   Due to Data Contamination.md
http://arxiv.org/abs/2507.07104v2,2507.07104,Vision-Language-Vision Auto-Encoder: Scalable Knowledge Distillation   from Diffusion Models,2025-07-16T08:32:34.459362,../summary/Vision-Language-Vision Auto-Encoder Scalable Knowledge Distillation   from Diffusion Models.md
http://arxiv.org/abs/2507.09404v1,2507.09404,Scaling Laws for Optimal Data Mixtures,2025-07-16T08:33:12.835995,../summary/Scaling Laws for Optimal Data Mixtures.md
http://arxiv.org/abs/2507.10787v1,2507.10787,Can Multimodal Foundation Models Understand Schematic Diagrams? An   Empirical Study on Information-Seeking QA over Scientific Papers,2025-07-16T08:33:36.680780,../summary/Can Multimodal Foundation Models Understand Schematic Diagrams An   Empirical Study on Information-Seeking QA over Scientific Papers.md
http://arxiv.org/abs/2507.09477v2,2507.09477,Towards Agentic RAG with Deep Reasoning: A Survey of RAG-Reasoning   Systems in LLMs,2025-07-17T08:32:38.977707,../summary/Towards Agentic RAG with Deep Reasoning A Survey of RAG-Reasoning   Systems in LLMs.md
http://arxiv.org/abs/2507.12465v1,2507.12465,PhysX: Physical-Grounded 3D Asset Generation,2025-07-17T08:33:12.143614,../summary/PhysX Physical-Grounded 3D Asset Generation.md
http://arxiv.org/abs/2507.11949v1,2507.11949,MOSPA: Human Motion Generation Driven by Spatial Audio,2025-07-17T08:33:51.295265,../summary/MOSPA Human Motion Generation Driven by Spatial Audio.md
